Ingredient,Description,Category,Substitutes
black sapote,This fruit has an olive-green rind and tastes like a papaya that's been sprinkled with cocoa.,Sapotes,[]
black sea bass,,Rockfish,"[{'Substitute': '1 pound cod', 'Equivalent': '= 1 pound black sea bass', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '82 Cals.', 'Salt': '54 mg', 'Fat': '0.7 g', 'Cholesterol': '43 mg', 'Vitamin C': '1 mg', 'Calcium': '16 mg', 'Protein': '17.8 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound red snapper', 'Equivalent': '= 1 pound black sea bass', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '100 Cals.', 'Salt': '64 mg', 'Fat': '1.3 g', 'Cholesterol': '37 mg', 'Vitamin C': '1.6 mg', 'Calcium': '32 mg', 'Protein': '20.5 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.3 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 pound rockfish', 'Equivalent': '= 1 pound black sea bass', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '90 Cals.', 'Salt': '74 mg', 'Fat': '1.3 g', 'Cholesterol': '50 mg', 'Vitamin C': '0 mg', 'Calcium': '14 mg', 'Protein': '18.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.4 g', 'Poly Fats': '0.4 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 pound tilefish', 'Equivalent': '= 1 pound black sea bass', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '96 Cals.', 'Salt': '53 mg', 'Fat': '2.3 g', 'Cholesterol': '50 mg', 'Vitamin C': '0 mg', 'Calcium': '26 mg', 'Protein': '17.5 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.6 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.4 g'}}, {'Substitute': '1 pound grouper', 'Equivalent': '= 1 pound black sea bass', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '92 Cals.', 'Salt': '53 mg', 'Fat': '1 g', 'Cholesterol': '37 mg', 'Vitamin C': '0 mg', 'Calcium': '27 mg', 'Protein': '19.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.3 g', 'Saturated Fats': '0.2 g'}}]"
black sesame seeds,Look for this in Asian markets,Asian Spices,"[{'Substitute': '1 tablespoon sesame seed', 'Equivalent': '= 1 tablespoon black sesame seeds', 'Note': ""Toast them before using.  They're not as pungent as black sesame seeds."", 'Nutritional value': {'Carbs': '26 g', 'Calories': '567 Cals.', 'Salt': '39 mg', 'Fat': '48 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '131 mg', 'Protein': '17 g', 'Sugars': '0.5 g', 'Fiber': '16.9 g', 'Mono Fats': '18.1 g', 'Poly Fats': '21 g', 'Saturated Fats': '6.7 g'}}]"
black stone flower,Black stone flower is a lichen used as a spice in soups and meat dishes.,Indian Herbs,[]
blackstrap molasses,"This has a strong, bitter flavor, and it's not very sweet.  It's sometimes used to make chili.  Look for it in health food stores.",Other Liquid Sweeteners,"[{'Substitute': '1 cup black treacle', 'Equivalent': '= 1 cup blackstrap molasses', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '290 Cals.', 'Salt': '37 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '205 mg', 'Protein': '0 g', 'Sugars': '74.7 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
black tea,,Tea,"[{'Substitute': '1 cup coffee', 'Equivalent': '= 1 cup black tea', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '1 Cals.', 'Salt': '2 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '2 mg', 'Protein': '0.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
black treacle,"This is the British version of America's blackstrap molasses.  It's common in Britain, but hard to find in the United States. Look for it in specialty markets.  Don't confuse this with golden syrup, which is sometimes called light treacle.",Other Liquid Sweeteners,"[{'Substitute': '1 cup blackstrap molasses', 'Equivalent': '= 1 cup black treacle', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '290 Cals.', 'Salt': '37 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '205 mg', 'Protein': '0 g', 'Sugars': '74.7 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 cup molasses', 'Equivalent': '= 1 cup black treacle', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '290 Cals.', 'Salt': '37 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '205 mg', 'Protein': '0 g', 'Sugars': '74.7 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 cup golden syrup', 'Equivalent': '= 1 cup black treacle', 'Note': ""Many cooks prefer this over black treacle for their treacle puddings and tarts, since it's less bitter."", 'Nutritional value': {'Carbs': '73.1 g', 'Calories': '269 Cals.', 'Salt': '58 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '13 mg', 'Protein': '0 g', 'Sugars': '73.2 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
black trumpet mushroom,"This is a very choice, flavorful mushroom.  Dried black trumpets are excellent, too.",Mushrooms,"[{'Substitute': '1 pound chanterelle', 'Equivalent': '= 1 pound black trumpet mushroom', 'Note': '', 'Nutritional value': {'Carbs': '6.9 g', 'Calories': '32 Cals.', 'Salt': '9 mg', 'Fat': '0.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '15 mg', 'Protein': '1.5 g', 'Sugars': '1.2 g', 'Fiber': '3.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound hedgehog mushroom', 'Equivalent': '= 1 pound black trumpet mushroom', 'Note': '', 'Nutritional value': {'Carbs': '3.3 g', 'Calories': '22 Cals.', 'Salt': '5 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '2.1 mg', 'Calcium': '3 mg', 'Protein': '3.1 g', 'Sugars': '2 g', 'Fiber': '1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}]"
black walnut,"These are hard to shell, but tastier than ordinary walnuts. Bakers use them to take their fudge and cookies up a notch.",Nuts,"[{'Substitute': '1 pound walnut', 'Equivalent': '= 1 pound black walnut', 'Note': '', 'Nutritional value': {'Carbs': '13.3 g', 'Calories': '667 Cals.', 'Salt': '0 mg', 'Fat': '66.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '67 mg', 'Protein': '16.7 g', 'Sugars': '3.3 g', 'Fiber': '6.7 g', 'Mono Fats': '8.3 g', 'Poly Fats': '46.7 g', 'Saturated Fats': '6.7 g'}}]"
blended whiskey,"Blended whiskies are mixtures of different kinds of straight whiskies and neutral spirits.  After they're blended, they're allowed to age together for awhile so that the flavors can marry.   Whiskey should be served at room temperature.",Whiskey,"[{'Substitute': '1 cup Bourbon whiskey', 'Equivalent': '= 1 cup blended whiskey', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 cup Scotch whisky', 'Equivalent': '= 1 cup blended whiskey', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
blender,,"Mashing, Grating, Grinding & Mixing Tools","[{'Substitute': '1 each food processor', 'Equivalent': '= 1 each blender', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Bleu d'Auvergne,"A moist, crumbly, and somewhat salty cow's milk blue cheese from France. It's milder and cheaper than Roquefort, and it works well in salad dressings or as a snacking cheese.",Blue Cheeses,"[{'Substitute': '1 pound Roquefort', 'Equivalent': ""= 1 pound Bleu d'Auvergne"", 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}, {'Substitute': '1 pound Maytag Blue', 'Equivalent': ""= 1 pound Bleu d'Auvergne"", 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}, {'Substitute': ""1 pound Fourme d'Ambert"", 'Equivalent': ""= 1 pound Bleu d'Auvergne"", 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Bleu de Bresse,"This blue cheese from France is made with cow's milk, and is buttery and mild. It's a safe but unexciting cheese to serve company. An American version called Bresse bleu is milder still.",Blue Cheeses,"[{'Substitute': '1 pound Cambozola', 'Equivalent': '= 1 pound Bleu de Bresse', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '357 Cals.', 'Salt': '643 mg', 'Fat': '32.1 g', 'Cholesterol': '107 mg', 'Vitamin C': '0 mg', 'Calcium': '214 mg', 'Protein': '17.9 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '21.4 g'}}, {'Substitute': '1 pound Blue Castello', 'Equivalent': '= 1 pound Bleu de Bresse', 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}, {'Substitute': '1 pound brie', 'Equivalent': '= 1 pound Bleu de Bresse', 'Note': '', 'Nutritional value': {'Carbs': '0.5 g', 'Calories': '334 Cals.', 'Salt': '629 mg', 'Fat': '27.7 g', 'Cholesterol': '100 mg', 'Vitamin C': '0 mg', 'Calcium': '184 mg', 'Protein': '20.8 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '17.4 g'}}, {'Substitute': '1 pound Gorgonzola', 'Equivalent': '= 1 pound Bleu de Bresse', 'Note': '', 'Nutritional value': {'Carbs': '3.6 g', 'Calories': '357 Cals.', 'Salt': '1214 mg', 'Fat': '28.6 g', 'Cholesterol': '89 mg', 'Vitamin C': '0 mg', 'Calcium': '464 mg', 'Protein': '21.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '21.4 g'}}]"
Bleu de Chevre,"This French blue cheese is made with goat's milk.  It's shaped as a pyramid, and has a distinctive country (or barnyard, some would say) flavor.",Blue Cheeses,"[{'Substitute': '1 pound Roquefort', 'Equivalent': '= 1 pound Bleu de Chevre', 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}, {'Substitute': '1 pound Gorgonzola', 'Equivalent': '= 1 pound Bleu de Chevre', 'Note': '', 'Nutritional value': {'Carbs': '3.6 g', 'Calories': '357 Cals.', 'Salt': '1214 mg', 'Fat': '28.6 g', 'Cholesterol': '89 mg', 'Vitamin C': '0 mg', 'Calcium': '464 mg', 'Protein': '21.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '21.4 g'}}]"
Bleu de Gex,"The French have been producing this excellent but hard-to-find blue cheese since the 13th century.  Made with cow's milk, it's pungent without being overpowering.",Blue Cheeses,"[{'Substitute': '1 pound Stilton cheese', 'Equivalent': '= 1 pound Bleu de Gex', 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}]"
Bleu des Causses,This is mild French cow's milk blue cheese.,Blue Cheeses,"[{'Substitute': '1 pound Roquefort', 'Equivalent': '= 1 pound Bleu des Causses', 'Note': 'Stronger', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}]"
blewit mushrooms,"These are prized more for their beauty than their flavor, which is pleasant but somewhat mild.  Dried blewits are even less flavorful than fresh.",Mushrooms,"[{'Substitute': '1 pound white mushroom', 'Equivalent': '= 1 pound blewit mushrooms', 'Note': '', 'Nutritional value': {'Carbs': '3.3 g', 'Calories': '22 Cals.', 'Salt': '5 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '2.1 mg', 'Calcium': '3 mg', 'Protein': '3.1 g', 'Sugars': '2 g', 'Fiber': '1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound shiitake mushroom', 'Equivalent': '= 1 pound blewit mushrooms', 'Note': '', 'Nutritional value': {'Carbs': '6.8 g', 'Calories': '34 Cals.', 'Salt': '9 mg', 'Fat': '0.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '2 mg', 'Protein': '2.2 g', 'Sugars': '2.4 g', 'Fiber': '2.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
blockwurst,This is a spicy German pork sausage that's usually served in sandwiches.  It comes ready-to-eat.,Cold Cuts,"[{'Substitute': '1 pound summer sausage', 'Equivalent': '= 1 pound blockwurst', 'Note': 'very similar', 'Nutritional value': {'Carbs': '1.8 g', 'Calories': '196 Cals.', 'Salt': '875 mg', 'Fat': '14.3 g', 'Cholesterol': '54 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '16.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '5.4 g'}}, {'Substitute': '1 pound bierwurst', 'Equivalent': '= 1 pound blockwurst', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
blood,"Asian markets carry this.  Europeans use it to make blood pudding, while Filipinos use it to make dinuguan, a stew.",Miscellaneous Variety Meats,[]
blood clam,,Mollusks - Clams,[]
blood orange,These red-fleshed oranges are more popular in Europe than in the United States. Look for them in the winter and spring.,Citrus Fruit,"[{'Substitute': '1 pound orange', 'Equivalent': '= 1 pound blood orange', 'Note': 'The flesh of orange is not red, more acidic', 'Nutritional value': {'Carbs': '11.8 g', 'Calories': '47 Cals.', 'Salt': '0 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '53.2 mg', 'Calcium': '40 mg', 'Protein': '0.9 g', 'Sugars': '9.4 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound mandarin orange', 'Equivalent': '= 1 pound blood orange', 'Note': 'sweeter', 'Nutritional value': {'Carbs': '13.3 g', 'Calories': '53 Cals.', 'Salt': '2 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '26.7 mg', 'Calcium': '37 mg', 'Protein': '0.8 g', 'Sugars': '10.6 g', 'Fiber': '1.8 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
blood sausage,"These eggplant-colored sausages are made of pig's blood mixed with fat, a filler like bread crumbs, and other flavorings that vary from region to region.  They're usually sold precooked, but most people heat them before serving.  Regional varieties include Germany's blutwurst, Louisiana's boudin rouge, and Spanish morcilla.",Sausages,"[{'Substitute': '1 pound zungenwurst', 'Equivalent': '= 1 pound blood sausage', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound boudin blanc', 'Equivalent': '= 1 pound blood sausage', 'Note': '', 'Nutritional value': {'Carbs': '3.6 g', 'Calories': '179 Cals.', 'Salt': '500 mg', 'Fat': '12.5 g', 'Cholesterol': '54 mg', 'Vitamin C': '4.3 mg', 'Calcium': '0 mg', 'Protein': '12.5 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '3.6 g'}}]"
blue atole flour,This is blue cornmeal that's been roasted. It's cooked and served for breakfast much like oatmeal.,Nonwheat Flours,[]
blueberry,"Blueberries are small and sturdy, so they're perfect for tossing into cakes, muffins, cereal bowls, and fruit salads. Like other berries, they also make good preserves and tarts. Select firm, dark berries that have a whitish bloom on them. Keep them refrigerated and wash them just before you eat them.You can find fresh blueberries in the summer, but frozen blueberries are available year-round and work well in many recipes. Frozen berries get a little mushy after they're defrosted, but they'll work well in many recipes. Canned blueberries also work in pies and baked goods, but drain off the liquid and rinse them first.",Berries,"[{'Substitute': '1 pound huckleberry', 'Equivalent': '= 1 pound blueberry', 'Note': 'larger seeds and tarter, otherwise very close substitute', 'Nutritional value': {'Carbs': '14.5 g', 'Calories': '57 Cals.', 'Salt': '1 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '9.7 mg', 'Calcium': '6 mg', 'Protein': '0.7 g', 'Sugars': '10 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound juneberry', 'Equivalent': '= 1 pound blueberry', 'Note': '', 'Nutritional value': {'Carbs': '14.5 g', 'Calories': '57 Cals.', 'Salt': '1 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '9.7 mg', 'Calcium': '6 mg', 'Protein': '0.7 g', 'Sugars': '10 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound red currant', 'Equivalent': '= 1 pound blueberry', 'Note': '', 'Nutritional value': {'Carbs': '13.8 g', 'Calories': '56 Cals.', 'Salt': '1 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '41 mg', 'Calcium': '33 mg', 'Protein': '1.4 g', 'Sugars': '7.4 g', 'Fiber': '4.3 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound raisins', 'Equivalent': '= 1 pound blueberry', 'Note': 'in baked goods', 'Nutritional value': {'Carbs': '79.2 g', 'Calories': '299 Cals.', 'Salt': '11 mg', 'Fat': '0.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '2.3 mg', 'Calcium': '50 mg', 'Protein': '3.1 g', 'Sugars': '59.2 g', 'Fiber': '3.7 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound dates', 'Equivalent': '= 1 pound blueberry', 'Note': 'in baked goods', 'Nutritional value': {'Carbs': '75 g', 'Calories': '282 Cals.', 'Salt': '2 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.4 mg', 'Calcium': '39 mg', 'Protein': '2.5 g', 'Sugars': '63.4 g', 'Fiber': '8 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound banana', 'Equivalent': '= 1 pound blueberry', 'Note': 'in baked goods', 'Nutritional value': {'Carbs': '22.8 g', 'Calories': '89 Cals.', 'Salt': '1 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '8.7 mg', 'Calcium': '5 mg', 'Protein': '1.1 g', 'Sugars': '12.2 g', 'Fiber': '2.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}]"
blueberry jam,,Jams,"[{'Substitute': '1 cup raspberry preserves', 'Equivalent': '= 1 cup blueberry jam', 'Note': '', 'Nutritional value': {'Carbs': '65 g', 'Calories': '250 Cals.', 'Salt': '25 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '12 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '55 g', 'Fiber': '5 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 cup gooseberry preserves', 'Equivalent': '= 1 cup blueberry jam', 'Note': '', 'Nutritional value': {'Carbs': '45 g', 'Calories': '190 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '45 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
blueberry vinegar,,Vinegars,"[{'Substitute': '1 cup black currant vinegar', 'Equivalent': '= 1 cup blueberry vinegar', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup cranberry vinegar', 'Equivalent': '= 1 cup blueberry vinegar', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Blue Castello,"This is a rich, moist, and creamy cow's milk blue cheese. It's fairly mild and a good choice for unadventurous guests.",Blue Cheeses,"[{'Substitute': '1 pound Cambozola', 'Equivalent': '= 1 pound Blue Castello', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '357 Cals.', 'Salt': '643 mg', 'Fat': '32.1 g', 'Cholesterol': '107 mg', 'Vitamin C': '0 mg', 'Calcium': '214 mg', 'Protein': '17.9 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '21.4 g'}}, {'Substitute': '1 pound Bleu de Bresse', 'Equivalent': '= 1 pound Blue Castello', 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}, {'Substitute': '1 pound Bavarian blue', 'Equivalent': '= 1 pound Blue Castello', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
blue crab,"These are found on the Atlantic coast. They're small, but otherwise similar to Dungeness crabs. When they molt, they're called soft-shelled crabs, a wonderful delicacy that can be eaten shell and all",Crab,[]
bluefin tuna,This is the favorite for sushi. It is the most expensive.,Tuna,"[{'Substitute': '1 pound albacore', 'Equivalent': '= 1 pound bluefin tuna', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '204 Cals.', 'Salt': '212 mg', 'Fat': '10.6 g', 'Cholesterol': '40 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '27.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '2.7 g'}}]"
